ItemName,original_type,original_subtype,frequency
北境森語-雙人床包含二件枕套 1287 新台幣 x,居家生活,傢具,2
松木活版印刷機套組,其他大類,其他,2
松木家電 MATRIC 強效超淨手持吸塵器,家電影音,廚房家電,2
松山｜芝麻街美語_C教室-週六第2時段(1330-1530),書籍及雜誌期刊,商業理財書籍,2
松山｜芝麻街美語_B教室-週六第2時段(1330-1530),書籍及雜誌期刊,商業理財書籍,2
松山｜芝麻街美語_A教室-週六第2時段(1330-1530),書籍及雜誌期刊,商業理財書籍,2
松山慈祐宮-典雅香茅,服務、票券,宗教服務,2
松夏御賞 禮盒(限量),食品,餐飲,2
松園極品手延麵經典組合(櫻禮盒、柚禮盒、辛禮盒 另附提袋),食品,生鮮食品,2
松園極品手延麵-叄人前細烏龍麵 (3入裝),食品,麵食,2
松原みき - 真夜中のドア～stay with me (2023 mix)(45回転/180g重量盤1LP) 700 元 x,娛樂、收藏,明星偶像商品,2
松優興業股份有限公司,金融服務,跨境服務,2
松井 直立式陶瓷電暖器/暖氣機/電暖爐 SG-072TC,家電影音,大型家電,2
松井 多功能雙層蒸煮鍋/電火鍋 SG-1011MS,家電影音,廚房家電,2
松下誠 First Night 透明膠1LP,美妝保養,美甲,2
風暖煙綠衾衾連帽外套 2622 新台幣 x,服飾,外套,2
緲緲靜月麗人,服飾,外套,2
*富貴得意 80000 新台幣 x,教育與社會服務,公益捐款,2
東陽旅遊露營用品有限公司,戶外/旅行,戶外休閒運動,2
*常常酒酒,食品,飲料,2
(加購)**增量版韓式小菜～魷魚絲*,食品,飲料,2
東部海岸線半日券 x 7 張,服務、票券,旅遊票券,2
*惜福*極致銀離子1標準雙人 5*6.2尺 2775 元,其他大類,其他,2
*惜福*40支100兒童 1165 元,服務、票券,餐券,2
東豐有機糙米1箱6包,食品,海鮮,2
東豐有機糙米,食品,海鮮,2
東西縱橫記藝--名畫真的超有戲！（限量簽名版） 631元,書籍及雜誌期刊,男同書籍,2
東西縱橫記藝 ( 名畫真的很有事 + 名畫真的超有戲 ) 1162元,書籍及雜誌期刊,漫畫,2
東芝TOSHIBA RC-10NMFTW 6人份電子鍋(泰國製),家電影音,廚房家電,2
東芝 12kg變頻溫水洗脫烘滾筒洗衣機 TWD-BJ130M4G 含基本安裝+舊機回收,家電影音,大型家電,2
東立幣(999),書籍及雜誌期刊,漫畫,2
東立幣(960),書籍及雜誌期刊,漫畫,2
東立幣(95),書籍及雜誌期刊,漫畫,2
東立幣(900),書籍及雜誌期刊,漫畫,2
東立幣(90),書籍及雜誌期刊,漫畫,2
東立幣(85),書籍及雜誌期刊,漫畫,2
東立幣(65),書籍及雜誌期刊,漫畫,2
東立幣(560),書籍及雜誌期刊,漫畫,2
東立幣(525),書籍及雜誌期刊,漫畫,2
東立幣(52),書籍及雜誌期刊,漫畫,2
東立幣(504),書籍及雜誌期刊,漫畫,2
東立幣(4500),娛樂、收藏,頻道贊助,2
東立幣(360),書籍及雜誌期刊,漫畫,2
東立幣(3500),書籍及雜誌期刊,漫畫,2
東立幣(2400),書籍及雜誌期刊,漫畫,2
東立幣(230),書籍及雜誌期刊,漫畫,2
東立幣(222),書籍及雜誌期刊,漫畫,2
東立幣(175),書籍及雜誌期刊,漫畫,2
東立幣(1512),書籍及雜誌期刊,漫畫,2
東立幣(148),書籍及雜誌期刊,漫畫,2
東立幣(140),書籍及雜誌期刊,漫畫,2
東立幣(1300),書籍及雜誌期刊,漫畫,2
東立幣(130),書籍及雜誌期刊,漫畫,2
東立幣(125),書籍及雜誌期刊,漫畫,2
東立幣(104),書籍及雜誌期刊,漫畫,2
東石外海海捕 肥美野生午仔魚 - 300g,食品,海鮮,2
東石外海海捕 肥美野生午仔魚,食品,海鮮,2
東石Pie,食品,米,2
"東石-文蛤大 9分(1份) ,【甘單】水餃絲瓜鮮蝦 (1盒) ,【甘單】水餃高麗鮮豬(1包) ,古福漢堡排芝心起司 1包 (2入) ,【霸味】鴨肉小丸子(1包) ,【本家生機】職人手作非基改生鮮腐竹(1盒) ,【三記】基隆-手工蝦餃(1盒) ,基隆-可口手工蛋餃(1盒) ,金針菇(1包) ,水果小黃瓜(1份) ,埔里-去殼筊白筍(1包) ,馬鈴薯(1顆) ,紅蘿蔔(1份) ,黑木耳(1份) ,洋蔥(1顆) ,【大成】益活雞里肌肉(1包) ,【十八養場】紅玉雞去骨雞腿切塊(1包) ,【放心初X十八養場】紅玉雞雞胸腿絞肉(1包) ,【緊來酸】酸菜快樂豬(1盒) ,散步紅心蛋(1盒)",食品,生鮮食品,2
東珠歐膩的長腿黑色喇叭褲 - S,服飾,丹寧牛仔,2
台塑鑽 麻油猴頭菇【自取】*1盒,健康保健,保健食品,2
東港一支釣 頂尖漁獲 野生紅喉、紅加網,食品,海鮮,2
東海樓 雙人湯屋房(五坪) 3000 元 x,戶外/旅行,住宿訂房,2
東海樓 雙人湯屋房(五坪) 2000 元 x,戶外/旅行,住宿訂房,2
東海樓 標準雙人客房(五坪) 3200 元 x,戶外/旅行,住宿訂房,2
東海樓 標準雙人客房(五坪) 2200 元 x,戶外/旅行,住宿訂房,2
東海岸霸王活凍白蝦(600G),食品,海鮮,2
東海岸霸王活凍白蝦(300G)8-10尾,美妝保養,肥皂香皂,2
東海岸紅甘魚丁,美妝保養,肥皂香皂,2
東海岸玉長豐濱二日券 x 6 張,服務、票券,旅遊票券,2
東森套組贈龍膽黑蒜湯,食品,生鮮食品,2
東條件次郎,娛樂、收藏,一番賞,2
東東乾媽商品,鞋類,跟鞋,2
東方美人立體茶包15包入/袋 150 元,食品,沖泡品,2
東方美人初級一-單一規格,書籍及雜誌期刊,商業理財書籍,2
東方美人,美妝保養,化妝品,2
東方美人 單欉白鷺<BR>Oriental Beauty Bailu,其他大類,其他,2
東方圖回墨章3.8X7.5CM 750 TWD x,居家生活,收納,2
東方不敗 × Xctrl聯名牌尺_染井吉野櫻花粉,運動/健身,運動用品,2
東成茶葉【痴犬找茶】A方案-包種抹夾心蛋捲+蜜香紅夾心蛋捲,食品,零食,2
東成茶葉【源霧】雪山烏龍茶,食品,飲料,2
東成珠寶行,包包/配件/精品,珠寶鑽石,2
東成牌 1/3HP桌上型鑽床 TCF-4113,居家生活,居家香氛,2
東岸跪婦推薦▸大貓手機座2入組 - 天然大理石手機架/名片座,手機平板與周邊,手機周邊配件,2
東岸跪婦推薦▸【故宮聯名款】天然冰石/冰酒石 whisky stones,居家生活,電動工具,2
東山精密機械廠,居家生活,五金修繕,2
東大門批發大解密span - /span台北場｜2025/06/22 (日),居家生活,餐廚,2
東大寺藥天真,郵購與傳銷,其他傳銷事業,2
東城數位科技有限公司 訂單 5990 元 x,服務、票券,生活服務,2
東城數位科技有限公司 訂單 15999 元 x,其他大類,其他,2
東城國際｜Insta360運動相機、KODAK相機、Feiyu pocket3、BOYA 麥克風、Hakii耳機訂單 3600 元 x,相機、攝影與周邊,相機攝影週邊商品,2
東城國際｜Insta360運動相機、KODAK相機、Feiyu pocket3、BOYA 麥克風、Hakii耳機訂單 3590 元 x,相機、攝影與周邊,其他攝影服務,2
東城國際｜Insta360運動相機、KODAK相機、Feiyu pocket3、BOYA 麥克風、Hakii耳機訂單 1759 元 x,相機、攝影與周邊,單眼相機,2
東城國際股份有限公司訂單 3290 元 x,服務、票券,生活服務,2
東坡角煮粽（3顆/包）,食品,生鮮食品,2
東坡肉粽-5顆,食品,生鮮食品,2
東吳大學政治學系發展專款,教育與社會服務,公益捐款,2
東南亞料理教室——印尼的祕密旅行,書籍及雜誌期刊,雜誌期刊,2
台中通信 創刊號 - 活動現場一起取貨,書籍及雜誌期刊,雜誌期刊,2
*推薦*[康得適]雙拉加壓護肘one size(單入)EB-201 420 新台幣 x,運動/健身,運動用品,2
[Yasco]護腕(NEOPRENE透氣型運動型)(自黏)(黑色76340) 175 新台幣 x,運動/健身,運動用品,2
*推薦*[康得適]旋鈕式手拖板(左M18-21cm單入)JO-3A01 990 新台幣 x,運動/健身,運動用品,2
*推薦*[康得適]旋鈕式手拖板(右M18-21cm單入)JO-3A01 990 新台幣 x,運動/健身,運動用品,2
*推薦*[康得,運動/健身,運動用品,2
*提拉米蘇蛋糕6吋/8吋,食品,甜點,2
金日昇-有機老薑粉100g 450 元 x,食品,烘焙食材,2
東區暖男女生技精油莊園有限公司 電子發票,其他大類,其他,2
東區暖男女生技精油莊園有限公司 方案費,其他大類,其他,2
東北醬牛肉,食品,餐飲,2
綠豆沙鍋餅,郵購與傳銷,其他傳銷事業,2
【桂冠】日式小火鍋 (450g),食品,麵食,2
【桂冠】花枝餃,食品,麵食,2
**NEW** 冷凍熟烏龍麵,食品,麵食,2
東北酸白菜 …等等，總共有 5 件商品,食品,生鮮食品,2
東勢《青皮椪柑》每1顆都是酸甜美味橘子 - 青皮椪柑 28台斤 1750元,食品,蔬果,2
東元 7公斤洗衣機【W0758FW 5866 新台幣 x,家電影音,大型家電,2
東元 3D擬真火焰PTC陶瓷立式電暖爐/暖氣機/電暖器(附遙控器) XYFYN3002CBB,家電影音,大型家電,2
東元 10公斤洗衣機【W1058FS 7890 新台幣 x,家電影音,大型家電,2
東傑-高山紅烏龍 600 元 x,美妝保養,美髮護理,2
東傑-有機蜜香紅茶 600 元 x,美妝保養,美髮護理,2
初鹿牧場米乖乖(焦糖牛奶) 單包 50 元 x,美妝保養,美髮護理,2
東信有限公司,其他大類,其他,2
"東京｜Sugar Butter Tree 砂糖樹 - 原味, 禮盒7入",食品,零食,2
東京食器 品牌紙袋(小),居家生活,餐廚,2
東京雙層觀光巴士 首都高路線｜19:50班次,服務、票券,旅遊票券,2
東京限定-粉膚小甜花手帶手機殼,手機平板與周邊,手機保護殼,2
加購手機掛繩配件【經典小香黑色長鍊】,手機平板與周邊,手機周邊配件,2
東京限定-水透小雛菊手帶手機殼,手機平板與周邊,手機保護殼,2
東京限定-巴黎黑字珍珠手帶鍊手機殼,手機平板與周邊,手機保護殼,2
東京限定-巴黎奶茶黑點背帶手機殼,手機平板與周邊,手機保護殼,2
東京限定-DAISY手帶金鍊背帶2合1手機殼,手機平板與周邊,手機保護殼,2
東京迪士尼樂園萬聖節南瓜造型爆米花桶,娛樂、收藏,玩具,2
東京迪士尼樂園冬季 伶娜貝爾站姿吊飾,包包/配件/精品,飾品,2
東京迪士尼樂園 園區限定 聖誕 米奇精靈 七寶貝 米奇米妮 聖誕米奇精靈 三隻一組杏紅寶寶藍吊飾,娛樂、收藏,樂器,2
東京迪士尼樂園 園區限定 40週年人氣網紅單品 現貨東迪米奇精靈 絕版 造型糖果罐左送 手機架,服飾,其他服飾,2
東京迪士尼樂園 園區限定 40週年人氣網紅單品 現貨 東迪 米奇精靈 吊飾買就送 迪士尼桌曆,服飾,其他服飾,2
東京迪士尼樂園 園區限定 40週年人氣網紅單品 40週年 迪士尼城堡 粉提把肩背包買就送米奇馬卡龍粉收納盒,包包/配件/精品,背包,2
東京迪士尼 史黛拉冬季起舞 夏季smil 春季草莓 系列周邊 絕版確定有貨東迪 大款 抱抱聖誕 貝兒玩偶,娛樂、收藏,玩具,2
東京迪士尼 史黛拉冬季起舞 夏季smil 春季草莓 系列周邊 東迪 冬季 貝兒 S號衣服 不含玩偶,娛樂、收藏,玩具,2
